
add shopify export → Commit
Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Agentic Category (product.metafields.agentiq.apl_category),Agentic Description (product.metafields.agentiq.apl_description),Agentic Title (product.metafields.agentiq.apl_title),Product Source URL (product.metafields.custom.product_upload_source_url),Size (product.metafields.custom.size),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Accessory size (product.metafields.shopify.accessory-size),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Vehicle application area (product.metafields.shopify.vehicle-application-area),Vehicle decor features (product.metafields.shopify.vehicle-decor-features),Vehicle type (product.metafields.shopify.vehicle-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ford,Ford Caliper Replacement Decals,"<p>Replace faded or damaged Ford caliper decals with precision-cut vinyl stickers, made to order at our UK studio.</p>

<p><strong>Kit Contents:</strong> 6 x Decals — 2x 110mm × 22mm, 2x 90mm × 18mm, 2x 70mm × 14mm — covering all four calipers on most vehicles.</p>

<p>Cut in-house at VinylHub in Chatteris, Cambridgeshire from premium automotive-grade vinyl. Available in 54 colour options including standard colours, sparkle finishes, and oil slick effects. Heat-resistant and weatherproof — handles rain, car washes, and road grime without lifting or fading. Compatible with Ford Fiesta, Focus, Mondeo, Mustang, Ranger, and other Ford models with branded calipers.</p>

<ul>
<li>Premium outdoor-rated vinyl</li>
<li>54 colour options including sparkle and oil slick</li>
<li>Easy peel-and-stick application</li>
<li>Dispatched within 1–3 working days from Cambridgeshire</li>
<li>Free UK delivery on orders over £30</li>
</ul>",VinylHub,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Vehicle Decals",Caliper Decal,"Bosozoku, Caliper, Die-cut vinyl stickers, dodge, Drift car stickers, FORD, Japanese car graphics, JDM car stickers, JDM sunstrip, JDM windscreen banner, jeep, Kanjozoku stickers, replacement, rt, ST, Streeto culture decals, Touge racing decals, TRD, UK car scene stickers, Vinyl car decals",true,Colour,Transparent,,,,,,,,,50.0,shopify,continue,manual,4.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1034/4310/4084/files/Screenshot2026-02-27005751.png?v=1782953235,1,Red Ford brake caliper on a car wheel with 'Racetrackhub' logo.,false,Ford Caliper Replacement Decals | VinylHub,"Upgrade your brakes with premium Ford caliper decals. Heat resistant, precision die cut vinyl. Set of 6 includes 3 pairs of varying sizes for a perfect fit.",2722,,,,,,,,,,,,,,,,,,gold; silver; bronze; pink; brown; beige; purple; orange; black; nardo-grey; dove-grey; anthracite-grey-dark-grey; wine-red; dark-red; burgundy; bright-red; bright-yellow; grass-green; light-green; dark-yellow; dark-green; forest-green; light-blue; aqua; turquoise; gray; clear; white; pink-sparkles; green-sparkles; red-sparkles; purple-sparkles; light-blue-sparkles; black-sparkles-oil-slick-mix; silver-sparkles; black-sparkles; gold-sparkles; arctic-blue; sky-blue; traffic-blue; dark-blue; silver-oil-slick; black-oil-slick; gold-oil-slick; rose-gold-oil-slick; copper-oil-slick; purple-oil-slick; red-oil-slick,vinyl,exterior,easy-to-apply; waterproof,car,,g,,,active
ford,,,,,,,,,Gold,,,,,,,,,50.0,shopify,continue,manual,4.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
ford,,,,,,,,,Silver,,,,,,,,,50.0,shopify,continue,manual,4.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
ford,,,,,,,,,White,,,,,,,,,50.0,shopify,continue,manual,4.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
ford,,,,,,,,,Matt White,,,,,,,,,50.0,shopify,continue,manual,4.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
ford,,,,,,,,,Nardo Grey,,,,,,,,,50.0,shopify,continue,manual,4.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
ford,,,,,,,,,Dove Grey,,,,,,,,,50.0,shopify,continue,manual,4.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
ford,,,,,,,,,Mid Grey,,,,,,,,,50.0,shopify,continue,manual,4.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
ford,,,,,,,,,Anthracite Grey,,,,,,,,,50.0,shopify,continue,manual,4.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
ford,,,,,,,,,Black,,,,,,,,,50.0,shopify,continue,manual,4.95,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
